screenName,text,Causes,Advice,Status,Decisionmaking,id,date,DOY,week,state,state.abb,replant
Adam_Heskett,Nebraska - 4 weeks till #RMA Earliest Planting Dates for replant coverage in Corn. Is your plan ready? #plant17,,1,,,8.41372E+17,3/13/2017,72,11,Nebraska,NE,TRUE
CropInsurer,Corn #Plant17 is ending for some here. #Soybean initial plant date is 4/25 in Nebraska.  Replant coverage is forfeiâ€¦,,1,,,8.55446E+17,4/21/2017,111,16,Nebraska,NE,TRUE
TopThird,After the Midwest hurricane hits  could we hit 118% #corn planted when it's all said and done?   #Replant17 #BasicMath,,,1,,8.56956E+17,4/25/2017,115,17,Illinois,IL,TRUE
Byrne_Invest,#plant17 Southern Midwest flooding means corn needs to be replanted.  Rain  snow  cold for wheat while heading.  Stay long the coarse grains,1,,,,8.57234E+17,4/26/2017,116,17,Ohio,OH,TRUE
mjwiegand,S. Gage Co. #Nebraska 2.00 to 4.30 of rain  80% done with #corn #plant17  early stands good but yellow  seed dealers short of replant seed,1,1,,,8.59056E+17,5/1/2017,121,18,Nebraska,NE,TRUE
mjwiegand,N. Gage Co. #Nebraska 1.30 to 4.30 of #rain  emerged #corn looks fine  later #plant17 will likely be #replant17,1,,,,8.59066E+17,5/1/2017,121,18,Nebraska,NE,TRUE
nicolemheslip,#Indiana #farmer says #corn #plant17 will need to be replanted after #flooding @INCornFarmers @brownfield #agnews,1,,,,8.59066E+17,5/1/2017,121,18,Indiana,IN,TRUE
BRNAgNews_NH,#Indiana #farmer says #corn #plant17 will need to be replanted after #flooding @INCornFarmers @brownfield #agnews,1,,,,8.59066E+17,5/1/2017,121,18,Indiana,IN,TRUE
FarmWeekNow,#Corn #planting 63% complete in #Illinois  16% ahead of avg. Question is  how much will have to be replanted? #Plant17 #RePlant17,,,1,,8.59136E+17,5/1/2017,121,18,Illinois,IL,TRUE
cornoptions1,How much of the 34% planted has to be replanted ? #corn #plant17,,,1,,8.59147E+17,5/1/2017,121,18,Illinois,IL,TRUE
farm33,Corn is sprouting under that water 2-3 more inches predicted #plant17  hopefully not #replant17,1,,1,,8.5834E+17,4/29/2017,119,17,Missouri,MO,TRUE
mjwiegand,Adams Co. #Nebraska #replant17 for #corn decisions won't be made until next week  #soybeans #plant17 will start once dry.,,,1,1,8.59452E+17,5/2/2017,122,18,Nebraska,NE,TRUE
misslajo,So don't write off this #corn crop just yet #replant17 #plant17 #turnaroundtuesday,,,1,,8.59458E+17,5/2/2017,122,18,Ohio,OH,TRUE
